title,url,date_published,snippet,body
Biden urges Western unity amid war fatigue...,https://apnews.com/article/russia-ukraine-g-7-summit-inflation-biden-moscow-8ec2d58070215ec8393b25e4109eac97,2022-06-26T15:01:38Z,"ELMAU, Germany (AP) — President Joe Biden on Sunday praised the continued unity of the global alliance confronting Russia, as he and other heads of the Group of Seven leading economies strategized on sustaining the pressure in their effort to isolate Moscow o…","ELMAU, Germany (AP) President Joe Biden on Sunday praised the continued unity of the global alliance confronting Russia, as he and other heads of the Group of Seven leading economies strategized on s… [+6269 chars]"
EXPLAINER: What's the impact of a Russian debt default? - The Associated Press - en Español,https://apnews.com/article/russia-ukraine-foreign-debt-sovereign-322dd9b66c6954063ef810c5922f0315,2022-06-26T17:05:25Z,"<ol><li>EXPLAINER: What's the impact of a Russian debt default?  The Associated Press - en Español
</li><li>Russia Is Hours Away From Its First Foreign Default in a Century  Bloomberg
</li><li>Sanctions Push Russia Near First Foreign Default Since Revolutio…","Russia is poised to default on its foreign debt for the first time since the 1917 Bolshevik Revolution, further alienating the country from the global financial system following sanctions imposed ove… [+5890 chars]"
"Serbia ignores EU sanctions, secures gas deal with Putin - The Associated Press",https://apnews.com/article/russia-ukraine-putin-european-union-aleksandar-vucic-5a6bbab20373ef26829378c6a0eb6065,2022-05-29T17:55:25Z,"BELGRADE, Serbia (AP) — As the war in Ukraine rages , Serbia's president announced that he has secured an “extremely favorable” natural gas deal with Russia during a telephone conversation Sunday with Russian President Vladimir Putin.","BELGRADE, Serbia (AP) As the war in Ukraine rages, Serbias president announced that he has secured an extremely favorable natural gas deal with Russia during a telephone conversation Sunday with Russ… [+2524 chars]"
EU leaders agree on partial embargo on Russian oil - The Associated Press,https://apnews.com/article/russia-ukraine-zelenskyy-hungary-european-union-d0d4144c84749f84676a2f41b03b2ad4,2022-05-30T23:38:08Z,"<ol><li>EU leaders agree on partial embargo on Russian oil  The Associated Press
</li><li>EU disagreements stall progress on proposed Russia sanctions  Al Jazeera English
</li><li>Latest Russia-Ukraine News  The New York Times
</li><li>Hungary's Orbán says…",BRUSSELS (AP) European Union leaders agreed Monday to embargo most Russian oil imports into the bloc by year-end as part of new sanctions on Moscow worked out at a summit focused on helping Ukraine w… [+4690 chars]
$30B from Russian oligarchs frozen under REPO seizure effort - The Associated Press - en Español,https://apnews.com/article/russia-ukraine-government-and-politics-d67e109941461f0b8df53832582b9ca9,2022-06-29T09:59:17Z,"WASHINGTON (AP) — A multinational task force designed to seize Russian oligarchs' wealth  has blocked and frozen $30 billion in sanctioned individuals' property and funds in its first 100 days in operation, the Treasury Department reported Wednesday.",WASHINGTON (AP) A multinational task force designed to seize Russian oligarchs wealth has blocked and frozen $30 billion in sanctioned individuals property and funds in its first 100 days in operatio… [+2559 chars]
Russia offers foreign debt payment system similar to gas one - The Associated Press,https://apnews.com/article/russia-ukraine-putin-government-and-politics-9040260186a97d33bc693bf279abceed,2022-05-30T11:04:48Z,"<ol><li>Russia offers foreign debt payment system similar to gas one  The Associated Press
</li><li>Russia Readies New Bond-Payment Plan in Bid to Avoid Default  Bloomberg
</li><li>Russia eyes gas-for-roubles template for foreign Eurobond payments  Reuters…","MOSCOW (AP) Russia said Monday it may use an arrangement similar to that used for payments for its gas supplies to pay its dollar-denominated foreign debts.
The Vedomosti business daily quoted Finan… [+2744 chars]"
G-7 leaders end summit pledging to hurt Russia economically - The Associated Press,https://apnews.com/article/nato-climate-g-7-summit-russia-ukraine-zelenskyy-7e539b7f8b1900259e7d0198591c6d5c,2022-06-28T11:03:45Z,"<ol><li>G-7 leaders end summit pledging to hurt Russia economically  The Associated Press
</li><li>G7 leaders work to 'starve' Russia of oil money as Zelensky says he wants the war over by the end of the year  CNN
</li><li>G-7 leaders stop short of new ener…","ELMAU, Germany (AP) Leaders of the worlds wealthiest democracies struck a united stance to support Ukraine for as long as it takes as Russias invasion grinds on, and said they would explore far-reach… [+5372 chars]"
EXPLAINER: Why Russia-Lithuania tensions are rising - The Associated Press,https://apnews.com/article/russia-ukraine-politics-moscow-soviet-union-world-war-ii-c8404294261b2fc200b16ea9e66533bb,2022-06-22T16:59:02Z,"<ol><li>EXPLAINER: Why Russia-Lithuania tensions are rising  The Associated Press
</li><li>Why is Lithuania risking Russia’s wrath over Kaliningrad?  Yahoo News
</li><li>Moscow and NATO could be about to clash over Russia's European exclave Kaliningrad  CNB…",New tensions between Moscow and the West are rising after Lithuania decided to halt the transport of some goods through its territory to the Russian region of Kaliningrad as part of European Union sa… [+6311 chars]
US basketball star Griner due in Russian court - The Associated Press,https://apnews.com/article/russia-ukraine-entertainment-politics-sports-brittney-griner-e855442ad005104a3eed495438ca03ed,2022-06-27T07:55:30Z,"<ol><li>US basketball star Griner due in Russian court  The Associated Press
</li><li>WNBA star Brittney Griner scheduled for hearing in Russian court  Fox News
</li><li>Brittney Griner to attend preliminary court hearing behind closed doors, lawyer says  C…","MOSCOW (AP) More than four months after she was arrested at a Moscow airport for cannabis possession, American basketball star Brittney Griner is to appear in court Monday for a preliminary hearing a… [+2908 chars]"
Russian troops entering Sievierodonetsk in eastern Ukraine - The Associated Press,https://apnews.com/article/russia-ukraine-zelenskyy-government-and-politics-moscow-a82d4539f85e472f9a36a378413b748c,2022-05-30T09:56:15Z,"<ol><li>Russian troops entering Sievierodonetsk in eastern Ukraine  The Associated Press
</li><li>Intense fighting breaks out in Ukraine's Donbas region  CBS News
</li><li>Russia's war in Ukraine: Live updates  CNN
</li><li>Ukraine: Russia's military has e…","KRAMATORSK, Ukraine (AP) The Russian-battered eastern Ukrainian city of Sievierodonetsk appeared to be on the brink of becoming another Mariupol on Monday as the mayor told The Associated Press that … [+5302 chars]"
NATO nations block Russian envoy's plane from Serbia visit - The Associated Press - en Español,https://apnews.com/article/russia-ukraine-politics-sergey-lavrov-moscow-ebcab64aac80dc26c8941f30fabb246b,2022-06-06T11:13:57Z,"<ol><li>NATO nations block Russian envoy's plane from Serbia visit  The Associated Press - en Español
</li><li>Russia FM Lavrov axes Serbia trip after other countries deny airpsace  Business Insider
</li><li>NATO nations block Russian envoy's plane from Ser…","BELGRADE, Serbia (AP) Serbia and Russia confirmed Monday that a planned visit by Russias foreign minister to the Balkan country will not take place, with Moscow accusing the West of preventing the tr… [+3759 chars]"
Ukraine fears a long war might cause West to lose interest - The Associated Press,https://apnews.com/cd240ea4311723e369a5916137c31087,2022-06-10T06:42:44Z,"KYIV, Ukraine (AP) — As Russia’s invasion of Ukraine grinds into its fourth month, officials in Kyiv have expressed fears that the specter of “war fatigue” could erode the West's resolve to help the country push back Moscow's aggression.","KYIV, Ukraine (AP) As Russias invasion of Ukraine grinds into its fourth month, officials in Kyiv have expressed fears that the specter of war fatigue could erode the Wests resolve to help the countr… [+6022 chars]"
Russian journalist sells Nobel Prize for Ukrainian children - The Associated Press - en Español,https://apnews.com/article/russia-ukraine-dmitry-muratov-journalists-9a6bb6e61350e1bb8221924c1bfe30a3,2022-06-20T05:21:16Z,NEW YORK (AP) — What's the price of peace? That question could be partially answered Monday night when Russian journalist Dmitry Muratov auctions off his Nobel Peace Prize medal. The proceeds will go directly to UNICEF in its efforts to help children displace…,"NEW YORK (AP) Whats the price of peace?
That question could be partially answered Monday night when Russian journalist Dmitry Muratov auctions off his Nobel Peace Prize medal. The proceeds will go d… [+4168 chars]"
"US wins case to seize Russian superyacht in Fiji, sails away - The Associated Press",https://apnews.com/article/russia-ukraine-sports-new-zealand-united-states-fiji-fca11dc9117214a679845e6ab4300e2b,2022-06-07T10:44:06Z,"WELLINGTON, New Zealand (AP) — The United States won a legal battle on Tuesday to seize a Russian-owned superyacht in Fiji and wasted no time in taking command of the $325 million vessel and sailing it away from the South Pacific nation.","WELLINGTON, New Zealand (AP) The United States won a legal battle on Tuesday to seize a Russian-owned superyacht in Fiji and wasted no time in taking command of the $325 million vessel and sailing it… [+4568 chars]"
"G-7 leaders to commit to Ukraine, US sending anti-air system - The Associated Press",https://apnews.com/article/russia-ukraine-nato-g-7-summit-zelenskyy-boris-johnson-3437ebe5d3e167e399af96665d1354b6,2022-06-27T05:26:15Z,"<ol><li>G-7 leaders to commit to Ukraine, US sending anti-air system  The Associated Press
</li><li>What to watch from Joe Biden's trip to the G7  CNN
</li><li>Storm clouds at home dampen Biden's return to Europe  POLITICO
</li><li>Tale of 2 Summits: 'Amer…","ELMAU, Germany (AP) Leaders of the Group of Seven economic powers are set to commit themselves to the long haul in supporting Ukraine as they meet in the German Alps and confer by video link with Ukr… [+3801 chars]"
Live updates | German official: Time working against Russia - The Associated Press - en Español,https://apnews.com/article/russia-ukraine-moscow-united-states-39a4e31399665b6fc824fba8a29a3f56,2022-06-02T10:18:45Z,"KYIV, Ukraine — Ukrainian President Volodymyr Zelenskyy says if Russia prevails in its war in Ukraine “then the dark times will come for everyone” in Europe. Addressing the parliament in Luxembourg via a video link on Thursday, Zelenskyy said: “If we win this…","KYIV, Ukraine Ukrainian President Volodymyr Zelenskyy says if Russia prevails in its war in Ukraine then the dark times will come for everyone in Europe.
Addressing the parliament in Luxembourg via … [+9079 chars]"
"Russia warns West of weapons repercussions, pounds Ukraine - The Associated Press",https://apnews.com/article/russia-ukraine-kyiv-government-and-politics-moscow-61ef29e1911bf2e38a19a6110e764e09,2022-06-02T13:41:15Z,"KYIV, Ukraine (AP) — Britain pledged Thursday to send sophisticated medium-range rocket systems to Ukraine, joining the United States and Germany in equipping the embattled nation with advanced weapons for shooting down aircraft and knocking out artillery.","KYIV, Ukraine (AP) Britain pledged Thursday to send sophisticated medium-range rocket systems to Ukraine, joining the United States and Germany in equipping the embattled nation with advanced weapons… [+7501 chars]"
Several factors are converging to push gas prices higher - The Associated Press - en Español,https://apnews.com/article/why-are-gas-prices-rising-541819ca1aa4d3dc0a0206271f9f8589,2022-06-11T19:18:25Z,"<ol><li>Several factors are converging to push gas prices higher  The Associated Press - en Español
</li><li>Drivers sound off on how high gas prices are impacting their lives  WPTV News - FL Palm Beaches and Treasure Coast
</li><li>Gas Prices Hit $5 a Gall…","DALLAS (AP) There is little evidence that gasoline prices, which hit a record $5 a gallon on Saturday, will drop anytime soon.
Rising prices at the pump are a key driver in the highest inflation tha… [+5601 chars]"
European Union leaders set to grant Ukraine candidate status - The Associated Press,https://apnews.com/article/russia-ukraine-brussels-european-union-ff560e01c6b3e4f9c70777fad97be397,2022-06-23T11:15:00Z,"<ol><li>European Union leaders set to grant Ukraine candidate status  The Associated Press
</li><li>EU leaders to grant Ukraine candidate status in blow to Putin  The Guardian
</li><li>Ukraine takes step toward EU membership as Russian forces tighten vise o…","BRUSSELS (AP) European Union leaders on Thursday are set to make Ukraine a candidate for joining the 27-nation bloc, a first step in a long and unpredictable journey toward full membership that could… [+3585 chars]"
Biden's mission in Europe: Shore up alliance against Russia - The Associated Press,https://apnews.com/article/russia-ukraine-inflation-biden-g-7-summit-nato-090e5cc5390acf29a069334dba0a5b47,2022-06-25T22:29:25Z,MUNICH (AP) — President Joe Biden is out to sustain the global alliance punishing Russia for its invasion of Ukraine  as he embarks on a five-day trip to Europe as the 4-month-old war shows no sign of abating and its aftershocks to global food  and energy sup…,MUNICH (AP) President Joe Biden is out to sustain the global alliance punishing Russia for its invasion of Ukraine as he embarks on a five-day trip to Europe as the 4-month-old war shows no sign of a… [+6718 chars]
"French, German, Italian leaders arrive in Kyiv - The Associated Press - en Español",https://apnews.com/article/russia-ukraine-zelenskyy-kyiv-politics-olaf-scholz-515075496ed9d6cfe3e4acde23b52f8e,2022-06-16T06:22:08Z,"<ol><li>French, German, Italian leaders arrive in Kyiv  The Associated Press - en Español
</li><li>Russia-Ukraine live news: Macron, Draghi, Scholz in Kyiv  Al Jazeera English
</li><li>Ukraine: France, Germany, Italy leaders head to Kyiv to meet Zelenskyy  …","KYIV, Ukraine (AP) The leaders of France, Germany, Italy and Romania arrived in Kyiv on Thursday in a show of collective European support for Ukraine as it tries to resist Russias invasion, marking t… [+4470 chars]"
"Business Highlights: May inflation, stock market woes - The Associated Press - en Español",https://apnews.com/6b3544928a8717607d24c64ca78d3e22,2022-06-10T22:08:45Z,"___ US inflation at new 40-year high as price increases spread WASHINGTON (AP) — The prices of gas, food and most other goods and services jumped in May, raising inflation to a new four-decade high and giving American households no respite from rising costs.","___
US inflation at new 40-year high as price increases spread
WASHINGTON (AP) The prices of gas, food and most other goods and services jumped in May, raising inflation to a new four-decade high a… [+5924 chars]"
"Business Highlights: 'Shrinkflation,' Biden pick for Fed - The Associated Press - en Español",https://apnews.com/a2dff5d7addb63dfd67b0478db687ab6,2022-06-08T22:06:28Z,"___ No, you’re not imagining it — package sizes are shrinking NEW YORK (AP) — It’s the inflation you’re not supposed to see. From toilet paper to yogurt to corn chips, manufacturers are quietly shrinking package sizes without lowering prices.","___
No, youre not imagining it package sizes are shrinking
NEW YORK (AP) Its the inflation youre not supposed to see. From toilet paper to yogurt to corn chips, manufacturers are quietly shrinking … [+5711 chars]"
Live updates | UN secretary-general renews calls for peace - The Associated Press,https://apnews.com/article/russia-ukraine-european-union-government-and-politics-a4d103fb600f7e3a91836a4c349d584e,2022-06-03T22:41:15Z,"<ol><li>Live updates | UN secretary-general renews calls for peace  The Associated Press
</li><li>‘Big blow to Putin’s war’: Sanctions approved on Russian oil  Al Jazeera English
</li><li>Buying Cheap Russian Oil, China and India Help Putin Blunt West's San…","PARIS A French person was killed in combat in Ukraine, the Foreign Ministry said Friday.
The ministry did not elaborate in its written response to a journalists question about the death of a French … [+12823 chars]"
"EXPLAINER: At 100 days, Russia-Ukraine war by the numbers - The Associated Press - en Español",https://apnews.com/article/russia-ukraine-moscow-government-and-politics-7c1d0e4a3795919c56cabdb0dd51d61c,2022-06-03T06:51:01Z,"<ol><li>EXPLAINER: At 100 days, Russia-Ukraine war by the numbers  The Associated Press - en Español
</li><li>After 100 days of war, Putin is counting on the world's indifference  CNN
</li><li>Ukraine: 100 Days Since Russia's Invasion  9NEWS
</li><li>Russi…","GENEVA (AP) One hundred days into Russias invasion of Ukraine, the war has brought the world a near-daily drumbeat of gut wrenching scenes: Civilian corpses in the streets of Bucha; a blown-up theate… [+7583 chars]"
Leaders pledge arms and EU path for Ukraine in Kyiv visit - The Associated Press - en Español,https://apnews.com/article/eu-leaders-visit-ukraine-515075496ed9d6cfe3e4acde23b52f8e,2022-06-16T14:31:34Z,"<ol><li>Leaders pledge arms and EU path for Ukraine in Kyiv visit  The Associated Press - en Español
</li><li>Ukraine: France, Germany, Italy, Poland leaders set to meet Zelenskyy in Kyiv as air raid sirens ring out  Fox News
</li><li>Latest Ukraine-Russia …","KYIV, Ukraine (AP) The leaders of four European Union nations visited Ukraine on Thursday, vowing to back Kyivs bid to become an official candidate to join the bloc in a high-profile show of support … [+6201 chars]"
"High prices, Asian markets could blunt EU ban on Russian oil - The Associated Press",https://apnews.com/article/russia-ukraine-european-union-global-trade-government-and-politics-116cf5eeba7f1a4df46d7f6a574b2de9,2022-05-31T18:56:15Z,"BRUSSELS (AP) — The European Union’s groundbreaking decision to ban nearly all oil from Russia to punish the country for its invasion of Ukraine is a blow to Moscow’s economy, but its effects may be blunted by rising energy prices and other countries willing …","BRUSSELS (AP) The European Unions groundbreaking decision to ban nearly all oil from Russia to punish the country for its invasion of Ukraine is a blow to Moscows economy, but its effects may be blun… [+4894 chars]"
China's Xi criticizes sanctions at meeting of BRICS nations - The Associated Press - en Español,https://apnews.com/article/russia-ukraine-putin-jair-bolsonaro-beijing-d13c56ed449bd2570fe224bc316d6d24,2022-06-23T15:34:21Z,"<ol><li>China's Xi criticizes sanctions at meeting of BRICS nations  The Associated Press - en Español
</li><li>Putin meets BRICS head, shows Russia still has allies in Ukraine war  Business Insider
</li><li>‘Cold War mentality’: China’s Xi denounces ‘abuse…",BEIJING (AP) Chinese President Xi Jinping opened a meeting of leaders of major developing countries on Thursday by saying the world should oppose unilateral sanctions and efforts by some countries to… [+3484 chars]
"Serbia ignores EU sanctions, secures gas deal with Putin",https://apnews.com/5a6bbab20373ef26829378c6a0eb6065,2022-05-29T14:26:50Z,"The Serbian populist president has announced that he has secured an “extremely favorable” gas deal with Russia. The deal came during his telephone conversation Sunday with Russian President Vladimir Putin. Serbian President Aleksandar Vucic, a former pro-Russ…","BELGRADE, Serbia (AP) As the war in Ukraine rages, Serbia's president announced that he has secured an extremely favorable natural gas deal with Russia during a telephone conversation Sunday with Rus… [+2211 chars]"
"China's Russia dealings irk US, but don't breach sanctions",https://apnews.com/8c2466d549f6d082d0295cf0efb635d9,2022-06-01T06:32:46Z,China’s support for Russia through oil and gas purchases is irking Washington and raising the risk of U.S. retaliation. But observers say they see no sign Beijing is helping Moscow evade sanctions imposed over its war on Ukraine. Beijing says…,"By JOE McDONALD - AP Business Writer
BEIJING (AP) Chinas support for Russia through oil and gas purchases is irking Washington and raising the risk of U.S. retaliation, foreign observers say, though… [+6565 chars]"
Russian superyacht seized by US arrives in San Diego Bay,https://apnews.com/e91ff0023ebb95730d245f34364ea521,2022-06-27T17:44:51Z,A $325 million superyacht seized by the United States from a sanctioned Russian oligarch has arrived in San Diego Bay. The 348-foot-long Amadea flew an American flag Monday as it sailed past the retired aircraft carrier USS Midway and under…,"SAN DIEGO (AP) A $325 million superyacht seized by the United States from a sanctioned Russian oligarch arrived in San Diego Bay on Monday.
The 348-foot-long (106-meter-long) Amadea flew an American… [+1325 chars]"
